State,District,Area,Candidate Name,Party,Votes,Winner,Featured,Result Final,Image URL,Slug,Total Counted Votes,Total Cast Votes,Result Status
Koshi Province,Taplejung,Area 1,Kshitij Thebe,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),13962,True,False,False,https://file-r2.hamropatro.com/election-images/2082/candidates/339933.jpg,kshitij-thebe-a1,42897,0,RESULT_ANNOUNCED
Koshi Province,Taplejung,Area 1,Gajendra Prasad Tumyang Limbu,नेपाली काँग्रेस,11711,False,False,False,https://file-r2.hamropatro.com/election-images/2082/candidates/341131.jpg,gajendra-prasad-tumyang-limbu-a1,42897,0,RESULT_ANNOUNCED
Koshi Province,Taplejung,Area 1,Khel Prasad Budakshetri,नेपाली कम्युनिष्ट पार्टी,6775,False,False,False,https://file-r2.hamropatro.com/election-images/2082/candidates/339610.jpg,khel-prasad-budakshetri-a1,42897,0,RESULT_ANNOUNCED
Koshi Province,Panchthar,Area 1,Narendra Kumar Kerung,नेपाली काँग्रेस,17233,True,False,False,https://file-r2.hamropatro.com/election-images/2082/candidates/340563.jpg,narendra-kumar-kerung-a2,66921,0,RESULT_ANNOUNCED
Koshi Province,Panchthar,Area 1,Hasta Raj Sharma,श्रम संस्कृति पार्टी,14734,False,False,False,https://file-r2.hamropatro.com/election-images/2082/candidates/339925.jpg,hasta-raj-sharma-a2,66921,0,RESULT_ANNOUNCED
Koshi Province,Panchthar,Area 1,Aindra Sundar Nemwang,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),14534,False,False,False,https://file-r2.hamropatro.com/election-images/2082/candidates/340277.jpg,aindra-sundar-nemwang-a2,66921,0,RESULT_ANNOUNCED
Koshi Province,Ilam,Area 1,Nishkal Rai,नेपाली काँग्रेस,14543,True,False,False,https://file-r2.hamropatro.com/election-images/2082/candidates/340081.jpg,nishkal-rai-a3,59391,0,RESULT_ANNOUNCED
Koshi Province,Ilam,Area 1,Binod Nembang Limbu,श्रम संस्कृति पार्टी,13632,False,False,False,https://file-r2.hamropatro.com/election-images/2082/candidates/339759.jpg,binod-nembang-limbu-a3,59391,0,RESULT_ANNOUNCED
Koshi Province,Ilam,Area 1,Kazi Man Kagate,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),11966,False,False,False,https://file-r2.hamropatro.com/election-images/2082/candidates/339884.jpg,kazi-man-kagate-a3,59391,0,RESULT_ANNOUNCED
Koshi Province,Ilam,Area 2,Suhang Nembang,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),22426,True,False,False,https://file-r2.hamropatro.com/election-images/2082/candidates/339922.jpg,suhang-nembang-a4,63781,0,RESULT_ANNOUNCED
Koshi Province,Ilam,Area 2,Bheshraj Acharya,नेपाली काँग्रेस,14650,False,False,False,https://file-r2.hamropatro.com/election-images/2082/candidates/340271.jpg,bheshraj-acharya-a4,63781,0,RESULT_ANNOUNCED
Koshi Province,Ilam,Area 2,Sudip Rai,श्रम संस्कृति पार्टी,14400,False,False,False,https://file-r2.hamropatro.com/election-images/2082/candidates/339867.jpg,sudip-rai-a4,63781,0,RESULT_ANNOUNCED
Koshi Province,Jhapa,Area 1,Nisha Dangi,राष्ट्रिय स्वतन्त्र पार्टी,45680,True,False,False,https://file-r2.hamropatro.com/election-images/2082/candidates/339485.jpg,nisha-dangi-a5,78291,83803,RESULT_ANNOUNCED
Koshi Province,Jhapa,Area 1,Keshav Raj Pandey,नेपाली काँग्रेस,10550,False,False,False,https://file-r2.hamropatro.com/election-images/2082/candidates/340934.jpg,keshav-raj-pandey-a5,78291,83803,RESULT_ANNOUNCED
Koshi Province,Jhapa,Area 1,Kewalram Rai,श्रम संस्कृति पार्टी,10004,False,False,False,https://file-r2.hamropatro.com/election-images/2082/candidates/339617.jpg,kewalram-rai-a5,78291,83803,RESULT_ANNOUNCED
Koshi Province,Jhapa,Area 2,Indira Rana Magar,राष्ट्रिय स्वतन्त्र पार्टी,60110,True,False,False,https://file-r2.hamropatro.com/election-images/2082/candidates/339380.jpg,indira-rana-magar-a6,91323,0,RESULT_ANNOUNCED
Koshi Province,Jhapa,Area 2,Dev Raj Ghimire,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),11368,False,False,False,https://file-r2.hamropatro.com/election-images/2082/candidates/339775.jpg,dev-raj-ghimire-a6,91323,0,RESULT_ANNOUNCED
Koshi Province,Jhapa,Area 2,Keshav Kumar Bhandari,श्रम संस्कृति पार्टी,7291,False,False,False,https://file-r2.hamropatro.com/election-images/2082/candidates/339545.jpg,keshav-kumar-bhandari-a6,91323,0,RESULT_ANNOUNCED
Koshi Province,Jhapa,Area 3,Prakash Pathak,राष्ट्रिय स्वतन्त्र पार्टी,38674,True,False,False,https://file-r2.hamropatro.com/election-images/2082/candidates/339542.jpg,prakash-pathak-a7,82506,88449,RESULT_ANNOUNCED
Koshi Province,Jhapa,Area 3,Rajendra Prasad Lingden,राष्ट्रिय प्रजातन्त्र पार्टी,17294,False,True,False,https://file-r2.hamropatro.com/election-images/2082/candidates/339403.jpg,rajendra-prasad-lingden-a7,82506,88449,RESULT_ANNOUNCED
Koshi Province,Jhapa,Area 3,Rajendra Kumar Ghimire,नेपाली काँग्रेस,8199,False,False,False,https://file-r2.hamropatro.com/election-images/2082/candidates/340487.jpg,rajendra-kumar-ghimire-a7,82506,88449,RESULT_ANNOUNCED
Koshi Province,Jhapa,Area 4,Shambhu Prasad Dhakal,राष्ट्रिय स्वतन्त्र पार्टी,43631,True,False,False,https://file-r2.hamropatro.com/election-images/2082/candidates/339393.jpg,shambhu-prasad-dhakal-a8,77054,0,RESULT_ANNOUNCED
Koshi Province,Jhapa,Area 4,Lal Prasad Sawa Limbu,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),11986,False,False,False,https://file-r2.hamropatro.com/election-images/2082/candidates/339967.jpg,lal-prasad-sawa-limbu-a8,77054,0,RESULT_ANNOUNCED
Koshi Province,Jhapa,Area 4,Deu Kumar Thevey,नेपाली काँग्रेस,9434,False,False,False,https://file-r2.hamropatro.com/election-images/2082/candidates/340608.jpg,deu-kumar-thevey-a8,77054,0,RESULT_ANNOUNCED
